option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting,a* a,a* a.1
CN1,"44, 54, 96",,,142,121,100,80,2025,mj,260.0,188,165.0
CN2,"44, 54, 99",,,146,125,104,83,2025,mj,260.0,190,168.0
CP1,"43, 53, 94",,,145,124,104,84,2025,mj,260.0,199,172.0
CQ1,"41, 51, 95",,,151,130,110,90,2025,mj,260.0,203,177.0
CQ2,"41, 51, 98",,,151,131,111,91,2025,mj,260.0,203,177.0
CR1,"42, 52, 96",,,140,117,94,72,2025,mj,260.0,190,165.0
CR2,"42, 52, 99",,,144,121,98,75,2025,mj,260.0,192,168.0
CX1,"41, 51, 94",,,150,130,110,91,2025,mj,260.0,202,176.0
CY1,"42, 52, 95",,,146,124,102,80,2025,mj,260.0,194,170.0
CY2,"42, 52, 98",,,146,124,102,81,2025,mj,260.0,194,170.0
CZ1,"43, 53, 96",,,140,118,96,75,2025,mj,260.0,196,168.0
CZ2,"43, 53, 99",,,144,122,100,78,2025,mj,260.0,198,171.0
HC,"14, 24, 38, 44, 54",,,145,125,106,87,2025,mj,260.0,191,168.0
HX,"11, 21, 32, 41, 51",,,151,131,111,91,2025,mj,260.0,199,175.0
HY,"12, 22, 34, 42, 52",,,140,118,97,76,2025,mj,260.0,188,164.0
P1,50,,,45,38,31,25,2025,mj,75.0,–,54.0
S1,"11, 21, 31",,,80,69,59,49,2025,mj,130.0,–,90.0
S2,"11, 21, 32",,,81,70,60,50,2025,mj,130.0,–,90.0
S3,"12, 22, 33",,,73,63,53,43,2025,mj,130.0,–,85.0
S4,"12, 22, 34",,,75,65,55,45,2025,mj,130.0,–,86.0
S5,"13, 23, 35",,,84,74,65,56,2025,mj,130.0,–,94.0
S7,"14, 24, 37",,,76,66,56,46,2025,mj,130.0,–,89.0
S8,"14, 24, 38",,,78,68,58,48,2025,mj,130.0,–,90.0
AZ,"13, 23, 35, 43, 53",178,159.0,140,120,100,81,2022,on,260.0,,
BS1,"41, 51, 86",191,170.0,149,128,107,86,2022,on,260.0,,
BT1,"42, 52, 84",188,165.0,142,118,94,71,2022,on,260.0,,
BT2,"42, 52, 87",186,163.0,140,116,92,68,2022,on,260.0,,
BU1,"43, 53, 85",176,155.0,134,113,93,73,2022,on,260.0,,
BU2,"43, 53, 88",178,157.0,136,115,94,74,2022,on,260.0,,
BX1,"41, 51, 84",193,171.0,149,126,104,82,2022,on,260.0,,
BY1,"42, 52, 85",171,149.0,127,105,83,62,2022,on,260.0,,
